unified_id,year,month,revenue
AIR11209785,2023,8,2796
AIR11209785,2023,7,4223
AIR11209785,2023,6,2177
AIR11209785,2023,5,1890
AIR11209785,2023,4,3335
AIR11209785,2023,3,5178
AIR11209785,2023,2,7665
AIR11209785,2023,1,11382
AIR11209785,2022,12,11458
AIR11209785,2022,11,7173
AIR11209785,2022,10,3723
AIR11209785,2022,9,3623
AIR11209785,2022,8,4979
AIR11209785,2022,7,6805
AIR11209785,2022,6,5431
AIR11209785,2022,5,4753
AIR11209785,2022,4,5422
AIR11209785,2022,3,7793
AIR11209785,2022,2,11225
AIR11209785,2022,1,12575
AIR11209785,2021,12,15723
AIR11209785,2021,11,7898
AIR11209785,2021,10,6939
AIR11209785,2021,9,4895
AIR11209785,2021,8,6406
AIR11209785,2021,7,6274
AIR11209785,2021,6,4904
AIR11209785,2021,5,0
AIR11209785,2021,4,3829
AIR11209785,2021,3,2022
AIR11209785,2021,2,5473
AIR11209785,2021,1,5498
AIR11209785,2020,12,7725
AIR11209785,2020,11,2293
AIR11209785,2020,10,1652
AIR11209785,2020,9,1718
AIR11209785,2020,8,1875
AIR11209785,2020,7,2456
AIR11209785,2020,6,2247
AIR11209785,2020,5,1950
AIR11209785,2020,4,1911
AIR11209785,2020,3,3344
AIR11209785,2020,2,6022
AIR11209785,2020,1,8327
AIR11321206,2020,2,0
AIR11321206,2020,1,0
AIR11375202,2022,5,0
AIR11375202,2022,4,0
AIR11375202,2022,3,0
AIR11375202,2022,2,0
AIR11375202,2022,1,0
AIR11375202,2021,12,900
AIR11375202,2021,11,0
AIR11375202,2021,10,0
AIR11375202,2021,9,0
AIR11375202,2021,8,0
AIR11375202,2021,7,1725
AIR11375202,2021,6,0
AIR11375202,2021,5,6050
AIR11375202,2021,3,2200
AIR11375202,2021,2,3699
AIR11375202,2021,1,7299
AIR11375202,2020,12,9549
AIR11375202,2020,11,2574
AIR11375202,2020,10,1099
AIR11375202,2020,9,1099
AIR11375202,2020,8,2799
AIR11375202,2020,7,2074
AIR11375202,2020,6,549
AIR11375202,2020,5,1549
AIR11375202,2020,4,849
AIR11375202,2020,3,4599
AIR11375202,2020,2,5249
AIR11375202,2020,1,4724
AIR11458668,2023,12,3580
AIR11458668,2023,11,4505
AIR11458668,2023,10,7815
AIR11458668,2023,9,7395
AIR11458668,2023,8,0
AIR11458668,2023,7,420
AIR11458668,2023,6,0
AIR11458668,2023,5,0
AIR11458668,2023,4,0
AIR11458668,2023,3,0
AIR11458668,2023,2,0
AIR11458668,2023,1,890
AIR11458668,2022,12,210
AIR11458668,2022,11,7460
AIR11458668,2022,10,7960
AIR11458668,2022,9,7460
AIR11458668,2022,8,985
AIR11458668,2022,7,1340
AIR11458668,2022,6,0
AIR11458668,2022,5,3135
AIR11458668,2022,4,0
AIR11458668,2022,3,2180
AIR11458668,2022,2,3650
AIR11458668,2022,1,7030
AIR11458668,2021,12,7410
AIR11458668,2021,11,3190
AIR11458668,2021,10,1160
AIR11458668,2021,9,2450
AIR11458668,2021,8,4890
AIR11458668,2021,7,0
AIR11458668,2021,5,2470
AIR11458668,2021,4,2600
AIR11458668,2021,3,0
AIR11458668,2021,2,3975
AIR11458668,2021,1,4625
AIR11458668,2020,12,5599
AIR11458668,2020,11,7969
AIR11458668,2020,10,7669
AIR11458668,2020,9,4714
AIR11458668,2020,8,354
AIR11458668,2020,7,419
AIR11458668,2020,6,0
AIR11458668,2020,5,0
AIR11458668,2020,4,0
AIR11458668,2020,3,1339
AIR11458668,2020,2,3259
AIR11458668,2020,1,4109
AIR11496703,2020,1,1875
AIR11498887,2020,2,0
AIR11498887,2020,1,0
AIR11529774,2023,12,2160
AIR11529774,2023,11,3485
AIR11529774,2023,10,4205
AIR11529774,2023,9,5375
AIR11529774,2023,8,2160
AIR11529774,2023,7,7800
AIR11529774,2023,6,1800
AIR11529774,2023,5,6025
AIR11529774,2023,4,10850
AIR11529774,2023,3,8780
AIR11529774,2023,2,6935
AIR11529774,2023,1,9740
AIR11529774,2022,12,10800
AIR11529774,2022,11,9900
AIR11529774,2022,10,8785
AIR11529774,2022,9,5450
AIR11529774,2022,8,350
AIR11529774,2022,7,9235
AIR11529774,2022,6,5715
AIR11529774,2022,5,7450
AIR11529774,2022,4,7905
AIR11529774,2022,3,8080
AIR11529774,2022,2,7110
AIR11529774,2022,1,8200
AIR11529774,2021,12,8070
AIR11529774,2021,11,8150
AIR11529774,2021,10,7770
AIR11529774,2021,9,5860
AIR11529774,2021,8,6085
AIR11529774,2021,7,4925
AIR11529774,2021,6,3900
AIR11529774,2021,5,0
AIR11529774,2021,3,4660
AIR11529774,2021,2,5359
AIR11529774,2021,1,3839
AIR11529774,2020,12,4324
AIR11529774,2020,11,3769
AIR11529774,2020,10,3019
AIR11529774,2020,9,4224
AIR11529774,2020,8,2449
AIR11529774,2020,7,4399
AIR11529774,2020,6,2574
AIR11529774,2020,5,4664
AIR11529774,2020,4,6299
AIR11529774,2020,3,4774
AIR11529774,2020,2,3924
AIR11529774,2020,1,3939
AIR11612245,2022,11,23529
AIR11612245,2022,10,25565
AIR11612245,2022,9,22941
AIR11612245,2022,8,23250
AIR11612245,2022,7,23250
AIR11612245,2022,6,21000
AIR11612245,2022,5,1500
AIR11612245,2022,4,0
AIR11612245,2022,3,2250
AIR11612245,2022,2,6000
AIR11612245,2022,1,10851
AIR11612245,2021,12,10474
AIR11612245,2021,11,10350
AIR11612245,2021,10,0
AIR11612245,2021,9,1900
AIR11612245,2021,8,5250
AIR11612245,2021,7,5125
AIR11612245,2021,6,0
AIR11612245,2021,5,0
AIR11612245,2021,4,0
AIR11612245,2021,3,0
AIR11612245,2021,2,2500
AIR11612245,2021,1,1250
AIR11612245,2020,12,7900
AIR11612245,2020,11,1450
AIR11612245,2020,10,0
AIR11612245,2020,9,0
AIR11612245,2020,8,1249
AIR11612245,2020,7,0
AIR11612245,2020,6,624
AIR11612245,2020,5,0
AIR11612245,2020,4,0
AIR11612245,2020,3,1249
AIR11612245,2020,2,4048
AIR11612245,2020,1,6491
AIR11623857,2023,12,0
AIR11623857,2023,11,0
AIR11623857,2023,10,0
AIR11623857,2023,9,0
AIR11623857,2023,8,0
AIR11623857,2023,7,0
AIR11623857,2023,6,1500
AIR11623857,2023,5,0
AIR11623857,2023,4,0
AIR11623857,2023,3,0
AIR11623857,2023,2,2370
AIR11623857,2023,1,3885
AIR11623857,2022,12,4095
AIR11623857,2022,11,1030
AIR11623857,2022,10,530
AIR11623857,2022,9,780
AIR11623857,2022,8,1370
AIR11623857,2022,7,3060
AIR11623857,2022,6,2110
AIR11623857,2022,5,475
AIR11623857,2022,4,1005
AIR11623857,2022,3,2120
AIR11623857,2022,2,3380
AIR11623857,2022,1,3910
AIR11623857,2021,12,4073
AIR11623857,2021,11,2640
AIR11623857,2021,10,1060
